5000	20000	
4958	272	8925
399	3736	17103
2771	1645	16401
2182	71	17835
1830	1092	13663
4393	4395	27440
4153	1950	11326
2310	3776	20001
2924	332	10738
429	1387	19319
325	3415	27090
3017	1400	18504
1717	4546	31684
786	4340	5851
2193	3410	29914
2774	3539	31943
147	184	2926
2005	2928	25415
4492	4398	9868
3983	3234	3695
4913	994	4118
604	914	4754
2859	2544	16950
2236	2907	18904
1292	2303	2438
3762	263	15909
560	4810	18154
1575	810	4924
3746	2096	19440
3356	4277	14184
3400	1675	15500
2552	365	6855
3195	1698	1754
1551	4620	9969
4379	2666	3475
1753	2776	1840
4839	3496	19368
2631	2957	29044
3776	1094	13917
3566	3438	9300
3587	1735	24325
3603	769	26957
662	4362	14718
1706	918	26418
2790	4397	16068
2172	2463	5446
1416	3508	14938
1125	708	4370
2544	162	20031
4673	2377	13108
1916	4944	12678
4711	1090	29702
107	3050	20928
3980	877	12273
3069	3023	2000
2065	2073	19438
1724	4102	31218
825	1385	10202
1482	23	6037
2993	300	14111
798	364	5809
3460	4390	5287
4176	3362	24768
3911	1343	29872
4126	4342	29479
2597	165	13073
3115	3812	2575
4580	1713	21346
4705	4983	22039
1658	4921	6711
161	4154	29813
2689	2958	3359
439	2621	23567
2991	1949	30565
4452	4491	5399
4603	3004	8451
1089	3319	17066
1216	1531	11345
734	4546	5678
3652	4733	4580
37	3308	25928
4863	812	6643
3209	2751	10417
354	3890	1549
3442	2375	24456
1673	2129	26298
4789	2377	63
2260	2873	12664
985	1252	28752
2630	1003	14401
858	292	24291
9	2370	6247
4075	443	1069
3901	4181	15308
4437	3949	17599
920	4365	28930
630	2113	3392
3764	1867	15000
4789	3175	30648
260	1587	27421
4063	4780	8521
880	63	21665
3300	2481	23795
1405	3883	30113
2397	135	5511
246	2303	10582
3664	2068	27257
3921	519	28445
4915	140	7438
4075	4982	19247
4308	3853	26325
4067	4566	21782
3444	4561	5515
4805	1430	31573
4256	848	21734
709	4728	14737
1458	3569	10741
544	1172	11634
1274	795	19371
1241	2027	16051
2271	3319	30845
2027	4111	22066
3114	2602	9013
3892	2744	367
2997	1763	4742
4336	1864	30310
559	1534	23242
834	1293	21966
2558	4217	19169
4474	1048	4383
322	1824	25635
1815	1118	27401
4007	2482	23121
2112	3506	2128
4082	2810	31676
4733	4894	7948
4897	364	8187
799	552	18294
2727	1129	23950
4006	4541	2446
4552	4244	27066
4005	1379	17148
3568	3212	6786
3314	3421	6474
1856	3382	25057
3401	4175	7667
1361	1830	4984
3631	2552	6349
1805	281	26535
3550	1668	22087
1251	1492	30516
4098	724	21646
704	1274	22188
1136	3563	23364
756	2213	18052
3271	3780	31330
